chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,46,1879,0.785882503192848,0.13043478260869565,0.1103448275862069,0.06666666666666667,0,-0.018943143812709028,-0.04308361204013378,-0.3909862068965517,-0.049344827586206896,0.3948962962962963,-0.12807407407407406,0.3980151515151515,-0.12723484848484848,0.25766666666666665,-0.165,-0.34325316455696203,-0.06392405063291139,-0.44812121212121214,-0.0318939393939394
House,47,1881,0.7827137902330744,0.10032362459546926,0.11029411764705882,0.025157232704402517,0,0.026343042071197413,-0.02570550161812298,-0.3949779411764706,-0.06818382352941177,0.3877358490566038,-0.05075471698113208,0.3910866666666667,-0.042993333333333335,0.3318888888888889,-0.1801111111111111,-0.33264285714285713,-0.058428571428571434,-0.4610909090909091,-0.07853030303030303
House,48,1883,0.7244042561576354,0.21637426900584794,0.27586206896551724,0.096,0,-0.06635380116959064,-0.02984795321637427,-0.34691625615763544,-0.0528423645320197,0.377488,0.0018240000000000005,0.3840086206896552,0.009155172413793104,0.29344444444444445,-0.09266666666666666,-0.2814496124031008,-0.008705426356589146,-0.46104054054054056,-0.12978378378378377
House,49,1885,0.7493212669683258,0.14759036144578314,0.18181818181818182,0.09090909090909091,0.006060606060606061,-0.04153313253012048,-0.029319277108433735,-0.36570588235294116,-0.09301069518716577,0.38361538461538464,0.05334265734265734,0.3886350364963504,0.06003649635036496,0.269,-0.0995,-0.295877358490566,-0.08875471698113208,-0.4570864197530864,-0.09858024691358025
House,50,1887,0.7648934640522875,0.16109422492401215,0.20588235294117646,0.0915032679738562,0.009287925696594427,-0.006875379939209725,-0.06596048632218846,-0.37025294117647056,-0.19561764705882353,0.394640522875817,0.04689542483660131,0.3934755244755245,0.06602797202797203,0.4113,-0.2267,-0.30031914893617023,-0.21047872340425533,-0.45675,-0.17723684210526316
House,51,1889,0.7952779457164909,0.11864406779661017,0.17159763313609466,0.06521739130434782,0,0.03135028248587571,-0.06203954802259887,-0.3836094674556213,-0.22989349112426036,0.41166847826086955,0.09103804347826087,0.41080232558139534,0.1006453488372093,0.4240833333333333,-0.04666666666666667,-0.31395505617977526,-0.2741685393258427,-0.4611,-0.1806375
House,52,1891,0.7663788381931493,0.23546511627906977,0.2793522267206478,0.0449438202247191,0,-0.1391017441860465,-0.13578488372093023,-0.3414574898785425,-0.2368663967611336,0.42492134831460676,0.04412359550561797,0.4218735632183908,0.03635632183908046,0.5575,0.382,-0.2786666666666667,-0.33170440251572325,-0.45490909090909093,-0.06551136363636363
House,53,1893,0.7913377192982456,0.192,0.23684210526315788,0.045112781954887216,0,-0.064168,-0.10172533333333333,-0.3514956140350877,-0.2030263157894737,0.4398421052631579,-9.548872180451105e-4,0.44023076923076926,-0.006907692307692305,0.42300000000000004,0.257,-0.2849850746268657,-0.3225149253731343,-0.44630851063829785,-0.03269148936170213
House,54,1895,0.8380726044744617,0.11202185792349727,0.0970873786407767,0.09486166007905138,0.008426966292134831,0.1655792349726776,0.02062021857923497,-0.42202912621359223,-0.10036893203883496,0.41604347826086957,0.039071146245059286,0.4231799163179916,0.03544769874476988,0.2942142857142857,0.10092857142857142,-0.3378076923076923,-0.276,-0.45046753246753246,-0.04106493506493507
House,55,1897,0.8195656089193825,0.11320754716981132,0.15151515151515152,0.0330188679245283,0,0.0925256064690027,0.055423180592991915,-0.3891363636363636,0.06209090909090909,0.43042924528301885,-0.041589622641509436,0.43593969849246234,-0.04169849246231156,0.34607692307692306,-0.03992307692307692,-0.3225,0.1597222222222222,-0.4352692307692308,-0.0055000000000000005
